Species_full,Family,N_Names,N_Langs,N_Uses,LDMC (g/g),Nmass (mg/g),Woodiness,Plant height (m),Leaf area (mm2)
Scirpus microcarpus,Scirpus,22,16,9,0.360957598,15.01430186,non-woody,1.246682581,5839.170000000002
Shepherdia canadensis,Shepherdia,94,46,127,182.9580095245755,33,woody,1.82,1677.163412868731
Sium suave,Sium,12,10,21,104.50907227668804,1.7,non-woody,0.5090117060260106,390.8952629616516
Solidago canadensis,Solidago,13,5,29,0.284464623,16.25032178,non-woody,0.816947234,894.72
Sorbus scopulina,Sorbus,50,27,5,184.59610469263748,20.71077783562062,woody,4.052776826,4811.999999999999
Sorbus sitchensis,Sorbus,50,27,13,187.53006760385156,20.45865472,woody,4.713407504000001,2053.7104885216486
Spiraea betulifolia,Spiraea,17,10,13,154.88060999150906,20.757693063910867,woody,0.91,1529.2740420737766
Spiraea douglasii,Spiraea,14,13,5,187.0222415533837,20.942848613909195,woody,1.787456293,1570.1004225097117
Streptopus amplexifolius,Streptopus,42,19,24,66.13442545761163,20.84905934370524,non-woody,0.579889,2957.039999999999
Symphoricarpos albus,Symphoricarpos,84,34,79,358.885,14.50379607,woody,1.560812225,1318.8700000000003
Taxus brevifolia,Taxus,65,39,127,222.44813210335795,15.692405812699409,woody,12.734896270000002,40
Thalictrum occidentale,Thalictrum,3,3,14,67.59833120501315,20.99697202313976,non-woody,0.7025736966463734,1860.6669982133426
Thuja plicata,Thuja,154,55,368,209.13753005244197,11.83504708,woody,48.291830559999994,114.36309167584642
Trifolium wormskioldii,Trifolium,16,12,21,70.45353274466447,21.582895783635163,non-woody,1.06,2082.3900677760053
Triglochin maritima,Triglochin,8,7,6,0.125570724,20.82394998592672,non-woody,0.40165977,394.6399999999998
Trillium ovatum,Trillium,16,11,10,67.59833120501315,20.99697202313976,non-woody,0.7025736966463734,1860.6669982133426
Triteleia grandiflora,Triteleia,9,6,11,66.99482139840266,20.855985183866213,non-woody,0.6,1790.290211811139
