Synonym,Family,N_Names,N_Langs,N_Uses,Species,Ssp_var,Nmass (mg/g),Woodiness,LDMC (g/g),Diaspore mass (mg),Plant height (m),Leaf area (mm2),species_id
Ligusticum canbyi,Apiaceae,11,8,19,Ligusticum canbyi,NA,17.161151779412823,non-woody,36.894210965103866,6.324545454100661,0.9424266530679312,4405.777117495993,145
Ligusticum scoticum,Apiaceae,12,4,5,Ligusticum scoticum,NA,17.010204344666015,non-woody,33.091983002394414,3.7199,0.52,3161.9999999999986,146
Lilium columbianum,Liliaceae,34,22,27,Lilium columbianum,NA,20.803116172592084,non-woody,45.197006427086336,2.55,0.6556094982296278,2421.862886588999,147
Linnaea borealis,Caprifoliaceae,8,8,6,Linnaea borealis,NA,9.304296068,non-woody,0.25,1.1894,0.17717347,92.95999999999995,148
Lithospermum ruderale,Boraginaceae,15,6,23,Lithospermum ruderale,NA,20.435101559938133,non-woody,41.67054720169679,10.2411,0.45,2079.2882761958713,149
Lomatium canbyi,Apiaceae,8,6,8,Lomatium canbyi,NA,17.07579389506011,non-woody,38.10519637277234,4.5796,0.24,3232.4439492256734,150
Lomatium cous,Apiaceae,14,10,12,Lomatium cous,NA,17.051618969689315,non-woody,38.24604837404722,4.52,0.24,3230.3659748700634,151
Lomatium dissectum,Apiaceae,10,7,40,Lomatium dissectum,NA,16.954992191386896,non-woody,68.55848249484008,13.923499999999999,1.4,4766.40740093088,152
Lomatium geyeri,Apiaceae,3,3,1,Lomatium geyeri,NA,17.221164560060114,non-woody,36.28439571219975,8.189858656080913,0.8880926347901367,4441.295614122887,153
Lomatium macrocarpum,Apiaceae,10,8,40,Lomatium macrocarpum,NA,17.221164560060114,non-woody,36.28439571219975,8.189858656080913,0.8880926347901367,4441.295614122887,154
Lomatium nudicaule,Apiaceae,25,18,54,Lomatium nudicaule,NA,16.837705309020244,non-woody,85.94077143723361,15.6694,1.606721772280088,6248.1125906265515,155
Lonicera ciliosa,Caprifoliaceae,36,18,25,Lonicera ciliosa,NA,18.549475456994223,woody,188.30371024797728,12.209999999999999,4.129528212918,2131.027177753833,156
Lonicera involucrata,Caprifoliaceae,68,34,72,Lonicera involucrata,NA,18.730951373654587,woody,191.54537175946564,1.517,3.04,3198.170000000001,157
Lupinus nootkatensis,Leguminosae,18,12,2,Lupinus nootkatensis,NA,28.128876481169108,non-woody,38.79484235353117,21.544400000000003,0.774596669,3115.384418575884,158
Lupinus polyphyllus,Leguminosae,22,14,6,Lupinus polyphyllus,NA,32.93508767,non-woody,0.16967032299999998,22.455600000000004,1.159253422,1460.1700000000005,159
Lycopodium clavatum,Lycopodiaceae,26,17,11,Lycopodium clavatum,NA,8.344249731,non-woody,380.1900000000001,9.409999999999996e-6,0.12602534899999998,2.39,160
Lysichiton americanus,Araceae,78,44,111,Lysichiton americanus,NA,21.112102258800018,non-woody,48.5251866182129,54.536799999999985,1.1,4279.866639639925,161
Mahonia aquifolium,Berberidaceae,68,29,58,Mahonia aquifolium,NA,20.69550756816483,non-woody,42.6609325140371,3.798570255206203,0.687465152774299,2395.110227039464,162
Mahonia nervosa,Berberidaceae,68,29,33,Mahonia nervosa,NA,20.69550756816483,non-woody,42.6609325140371,3.798570255206203,0.687465152774299,2395.110227039464,163
Maianthemum dilatatum,Asparagaceae,42,21,15,Maianthemum dilatatum,NA,20.90808581099131,non-woody,46.79402042501298,24.7677,1.071954446,9049.999999999998,164
Maianthemum racemosum subsp. amplexicaule,Liliaceae,38,21,3,Maianthemum racemosum,subsp. amplexicaule,20.894642675146212,non-woody,45.144821039650516,8.996156926666858,0.7644627676026794,3718.151788092308,165
Malus fusca,Rosaceae,95,33,90,Malus fusca,NA,19.76772249346273,woody,164.98384053152836,9.5443,7.463799301,2813.2466362534697,166
Mentha arvensis,Lamiaceae,30,19,208,Mentha arvensis,NA,15.13,non-woody,0.17114856499999997,0.1483,0.293615646,566.0700000000003,167
Menziesia ferruginea,Ericaceae,20,17,9,Menziesia ferruginea,NA,16.93843815240885,woody,157.300134677265,11.964428953480816,0.8,1480.7702770838057,168
Moneses uniflora,Ericaceae,11,10,14,Moneses uniflora,NA,20.4,non-woody,0.27,0.0020000000000000005,0.053078368999999986,358.33000000000004,169
